lon,lat,year,month,pCO2,Chl,Temp,Salt,pressure,windspeed
152.125,40.625,1997,9,299.3456045,0.132827044,21.91366577,33.73594153,101451.125,1.994543791
218.125,49.875,1997,9,296.0204571,0.564043283,14.85099983,32.35139066,100919.5703,3.616922617
165.125,16.375,1997,9,341.5074969,0.020018393,29.75099945,34.77362049,100902.5859,3.535589933
164.875,27.875,1997,9,353.7347868,0.035843641,29.09766579,35.26010865,101490.0781,5.457360744
235.125,43.875,1997,9,318.7720009,1.12293148,14.08033276,32.37365699,101378.0469,1.959121704
194.625,54.375,1997,9,294.7484784,0.873055875,8.784333229,32.12983567,100349.0156,4.353408813
171.375,48.375,1997,9,352.6901521,0.445019424,10.90866661,32.65240532,101381.1094,2.951976299
171.875,53.125,1997,9,307.6620712,0.870514035,9.116999626,32.86905628,101082.1719,3.003370762
161.625,43.875,1997,9,297.1263348,0.584820151,16.09133339,33.25623,101619.5781,0.887386084
196.625,54.125,1997,9,288.0836745,0.975321651,9.899000168,32.06011388,100320.7266,4.85000515
235.125,39.875,1997,9,340.8726778,0.422971606,16.48533249,32.95083433,101389.7344,5.720654964
236.875,19.875,1997,9,369.1350175,0.059910361,25.83166504,34.68467879,101015.1563,3.748605967
159.125,43.375,1997,9,293.9204393,0.15366967,19.43099976,33.52794886,101600.2969,0.544212818
186.375,54.125,1997,9,300.5439004,1.517566204,9.615333557,32.89163071,100630.2031,4.333070278
165.125,40.375,1997,9,312.2558328,0.131166562,22.0423336,34.02479571,101722.3672,0.833675206
165.125,41.375,1997,9,318.913467,0.312267274,19.01300049,33.77337003,101728.7031,0.438876808
143.625,41.875,1997,9,311.656065,0.701859951,19.57733345,33.15549886,101372.4766,0.105507225
236.125,37.875,1997,9,314.5112309,0.831319094,15.86699963,33.29120809,101332.2813,6.783443451
204.125,54.125,1997,9,285.3392223,0.546082199,12.64900017,32.34167612,100293.8516,4.553453445
162.875,44.125,1997,9,314.914103,0.51051563,15.74433327,33.23151481,101624.7109,1.231621623
237.125,28.625,1997,9,403.1217216,0.060281701,21.59566689,33.80687976,101313.0547,5.967778206
180.125,53.625,1997,9,312.37335,0.886207521,9.197666168,33.19534665,100883.8516,3.927823544
215.125,44.875,1997,9,317.9447501,0.264318019,18.28933334,32.58555073,101364.6094,4.928939819
173.375,49.125,1997,9,349.0099225,0.725725591,10.8876667,32.69440013,101308.4063,3.281776667
154.375,43.375,1997,9,294.9054674,0.391794294,19.15233231,33.16395277,101532.5625,0.809696674
152.625,42.375,1997,9,299.6828125,0.309324652,20.69033241,33.09810555,101487.5625,1.609841943
148.375,38.875,1997,9,313.9008491,0.136976197,24.0826664,33.95412999,101345.5,0.872080028
143.375,36.375,1997,9,327.5949576,0.068273515,27.81933212,33.77823138,101245.9766,2.075202465
165.125,38.375,1997,9,324.5087254,0.10066478,24.9193325,34.3209039,101728.1094,1.410275817
226.625,49.125,1997,9,314.6475691,0.538903832,16.60966682,32.36759073,101020.3984,3.202447653
234.875,40.625,1997,9,343.7706673,0.323495239,16.14866638,32.83426696,101413.3359,4.64056778
151.625,41.625,1997,9,288.0793891,0.216748878,21.13899994,33.28022307,101451.1875,1.700228572
222.875,49.375,1997,9,322.3413365,0.442696899,16.24333382,32.33987927,100992.7656,3.102159023
168.875,46.875,1997,9,353.0453333,0.547766685,12.16866684,32.89715743,101493.9531,2.541702747
174.625,49.875,1997,9,330.0725364,0.707024395,10.64366627,32.80099195,101243.1953,3.421402454
175.375,53.375,1997,9,309.7937816,0.755906105,9.597332954,32.99809116,101014.9922,3.604628563
231.125,20.375,1997,9,359.2285047,0.046043932,24.35066605,34.84976256,101164.375,6.051556587
198.875,54.125,1997,9,282.470389,1.142111182,11.14333344,32.1572026,100288.3906,4.859462738
235.625,44.625,1997,9,308.2374242,5.720064163,11.8409996,32.35617319,101353.25,1.661839724
164.875,19.375,1997,9,345.6033292,0.034865104,29.60866547,35.06007737,100995.3828,6.197584152
