fCO2,Chl,Temp,Salt,lon,lat
386.6210769,0.652422786,10.99645138,33.25679231,235.625,44.625
390.2838551,1.445977211,10.75580597,33.37335944,235.875,44.625
381.7552222,0.85841167,10.98741913,33.24209154,235.625,44.375
386.9113333,0.528669178,11.32999992,32.98632205,235.125,44.125
382.5342,0.648165762,11.15483856,33.05464637,235.375,44.125
370.28275,1.254270673,10.86838722,33.1229707,235.625,44.125
383.957,0.584808469,11.29354763,32.93566072,235.125,43.875
376.3577368,1.465514779,10.69967747,33.00384986,235.625,43.875
378.44708,0.560379326,11.44096756,32.85102713,234.875,43.625
381.147,0.702825904,11.17709637,32.88499939,235.125,43.625
348.8041818,0.991253138,10.84290314,32.88486421,235.375,43.625
357.765,2.935527325,10.58580589,32.88472903,235.625,43.625
375.3675833,0.619520426,11.22290325,32.86219531,234.875,43.375
380.2048462,1.27894485,10.65903187,32.87690896,235.375,43.375
409.1735556,0.923546791,10.89387035,32.91904253,234.875,43.125
399.52175,1.832567334,10.50322533,32.94588953,235.375,43.125
486.7694286,0.692904532,10.65999985,32.97588974,234.875,42.875
427.0227273,0.856589258,10.52290344,33.00970346,235.125,42.875
482.8573846,0.774920166,10.57967758,33.03273696,234.875,42.625
433.9548571,0.813277543,10.60032272,33.04260588,234.875,42.375
433.3903939,0.800426304,10.63806438,33.0054965,234.875,42.125
413.1546774,0.777915537,10.67838669,32.96838713,234.875,41.875
418.4410652,0.800702929,10.74354839,32.93127775,234.875,41.625
431.512,0.762529731,10.84354782,32.91182047,234.875,41.375
422.6084318,0.772762179,10.93870926,32.91001529,234.875,41.125
454.153,0.845942974,11.00290298,32.98121208,235.125,41.125
443.8956667,0.83403188,10.99903202,32.9082101,234.875,40.875
425.52832,0.95161891,11.00354862,32.97584349,235.125,40.875
443.5496129,0.762761235,11.03354836,32.9704749,235.125,40.625
408.4764694,0.794355094,11.10322571,32.94990969,235.125,40.375
428.219,0.843857408,11.26064491,32.91414785,235.125,40.125
422.3205429,0.832743943,11.610322,32.87838602,235.125,39.875
382.5345,0.698340595,11.46096706,32.94010496,235.375,39.875
432.0387619,0.703879774,11.96258068,32.90194178,235.375,39.625
421.9070417,0.641447723,12.50838661,32.88194317,235.375,39.375
451.8331111,0.623298287,12.13806438,32.94189936,235.625,39.375
450.5529459,0.598986745,12.37322521,32.94374388,235.625,39.125
443.9650667,0.700700045,12.3264513,32.94558841,235.625,38.875
446.5770909,0.826242626,11.87483883,33.01290172,235.875,38.875
459.5530566,0.66432482,11.78290272,33.01842481,235.875,38.625
597.085,0.629125059,11.73774147,33.03323042,235.875,38.375
442.3752,0.686998367,11.54903221,33.06640166,236.125,38.375
327.2280826,1.116143703,12.47064495,33.86183542,141.125,38.125
339.7666259,0.638028741,12.41580582,33.89577371,141.375,38.125
344.7441939,0.470972329,12.33612919,33.929712,141.625,38.125
427.0186857,0.700475812,11.73451614,33.09004742,236.125,38.125
419.28,0.694691896,11.52096748,33.09324044,236.375,38.125
333.4655416,1.00600183,12.58870888,33.90694863,141.125,37.875
395.7047561,0.676154852,12.15451622,33.20107251,236.625,37.375
396.9765,0.889159977,11.91258049,33.2223472,236.875,37.375
337.3444133,0.568876088,13.22032261,34.07441145,141.125,37.125
394.5484468,0.812258363,12.0158062,33.25716668,236.875,37.125
409.8105,1.370796323,12.01677418,33.29198617,236.875,36.875
404.1582222,2.620482445,11.80806446,33.30929452,237.125,36.875
401.9309286,3.283119678,11.84774208,33.34726137,237.125,36.625
389.9855094,2.997110605,11.91967678,33.37424803,237.375,36.375
380.0154286,3.103065252,12.10193539,33.38224554,237.375,36.125
413.2549864,1.638160229,12.21935463,33.39459276,237.625,36.125
419.7809714,1.419725776,12.34806442,33.40693998,237.875,36.125
394.7661579,1.174431086,12.42387104,33.4081521,237.625,35.875
395.73136,1.518957615,12.61548328,33.42606115,237.875,35.875
