fCO2,Chl,Temp,Salt,lon,lat
427.0227273,0.856589258,10.52290344,33.00970346,235.125,42.875
482.8573846,0.774920166,10.57967758,33.03273696,234.875,42.625
433.9548571,0.813277543,10.60032272,33.04260588,234.875,42.375
433.3903939,0.800426304,10.63806438,33.0054965,234.875,42.125
413.1546774,0.777915537,10.67838669,32.96838713,234.875,41.875
418.4410652,0.800702929,10.74354839,32.93127775,234.875,41.625
431.512,0.762529731,10.84354782,32.91182047,234.875,41.375
422.6084318,0.772762179,10.93870926,32.91001529,234.875,41.125
454.153,0.845942974,11.00290298,32.98121208,235.125,41.125
443.8956667,0.83403188,10.99903202,32.9082101,234.875,40.875
342.8012058,0.467087626,12.53903198,33.95320386,141.375,37.875
344.6948889,0.383636236,12.38967705,33.99945909,141.625,37.875
407.1016667,0.669980228,11.81645107,33.12304574,236.375,37.875
334.791104,0.737642646,12.71354771,33.95206183,141.125,37.625
343.1821411,0.363651812,12.30128956,34.06920618,141.625,37.625
448.7936667,0.648809254,12.06774139,33.15285105,236.375,37.625
398.4516154,0.817402661,11.91645145,33.16836315,236.625,37.625
340.8363916,0.636316538,12.85290337,34.00788277,141.125,37.375
343.3762396,0.395199537,12.58903217,34.07002074,141.375,37.375
344.1905,0.348403126,12.30709648,34.1321587,141.625,37.375
356.1563111,0.203659728,22.11903191,34.68532681,139.875,34.375
403.7620245,1.215404987,13.84741879,33.58872443,239.125,34.375
346.895102,0.752910435,18.07999992,34.29105127,134.875,34.125
350.4395,0.171294987,22.86128998,34.60141844,138.125,34.125
350.914,0.180465087,22.7048378,34.61788541,138.375,34.125
355.854725,0.191437185,22.54709625,34.70392203,139.875,34.125
358.82,0.183892593,22.67709541,34.71132851,140.125,34.125
345.4965469,0.57190752,19.77290344,34.4065897,134.875,33.875
350.745,0.149422735,23.21645164,34.61241102,137.875,33.875
348.6580909,0.157815263,23.21967697,34.63668877,138.125,33.875
356.8606667,0.172732502,22.92290306,34.72852325,140.125,33.875
348.34304,0.213239476,21.04935455,34.53023609,134.875,33.625
350.8944783,0.24293901,21.25290298,34.53382105,135.125,33.625
348.2677143,0.148660839,23.1506443,34.63910341,137.625,33.625
355.4448333,0.165596977,22.9593544,34.745718,140.125,33.625
350.4318472,0.268164515,21.71225739,34.60033715,135.125,33.375
349.0333333,0.131604359,22.82032204,34.68610948,137.625,33.375
357.4286458,0.159946889,22.9074192,34.76255691,140.125,33.375
